"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"90","Uttar Pradesh","Lighting of public spaces","WS/MP847/2024-2025/151102","KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","23-Jun-2026","shyam swaroop manufacturere","Payment In-Progress","42433"
"91","Uttar Pradesh","Lighting of public spaces","WS/MP847/2024-2025/151100","KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","23-Jun-2026","shyam swaroop manufacturere","Payment In-Progress","42433"
"92","Madhya Pradesh","Construction of culverts and bridges","WS/MP18316/2025-2026/250285","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","09-Sep-2026","singhpur chhota","Payment In-Progress","250000"
"93","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/301953","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Sep-2026","BHAGAT RAM KISHAN CHAND","Payment In-Progress","279201"
"94","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18427/2025-2026/245769","NTR(DISTRICT COLLECTOR NTR_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","01-Sep-2026","PALETI SATEESH","Payment In-Progress","2501527"
"95","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/12510","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Sep-2026","Gram Panchayat Urhera","Payment In-Progress","250000"
"96","Madhya Pradesh","Street lights","WS/MP106/2026-2027/276510","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","02-Sep-2026","Gram Panchayat Urhera","Payment In-Progress","200000"
"97","Bihar","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18332/2025-2026/217319","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","19-Aug-2026","ASSISTANT ENGINEER  BAHADURPUR","Payment In-Progress","648902"
"98","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2026-2027/291856","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","07-Sep-2026","BDO MASHOBRA RAJYA SABHA","Payment In-Progress","500000"
"99","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP138/2025-2026/205446","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","08-Sep-2026","EMF","Payment In-Progress","421"
"100","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229610","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","VINAYAK ENTERPRISES","Payment In-Progress","948129"
"101","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229611","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","VINAYAK ENTERPRISES","Payment In-Progress","948129"
"102","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP202/2023-2024/16913","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","30-Aug-2025","Sunny Enterprises","Payment In-Progress","125500"
"103","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP181/2026-2027/194228","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","31-Aug-2026","HARSHPREM ENTERPRISES PVT LTD","Payment In-Progress","1123500"
"104","Karnataka","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP838/2026-2027/269864","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","02-Sep-2026","PRED BELLARY","Payment In-Progress","374250"
"105","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18297/2025-2026/213656","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","01-Sep-2026","Gp Meen","Payment In-Progress","300000"
"106","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP186/2025-2026/219128","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","10-Aug-2026","BDO PAHADI","Payment In-Progress","58512"
"107","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284173","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"108","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284174","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"109","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284175","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"110","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284176","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"111","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284158","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"112","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284159","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"113","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284160","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"114","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284167","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"115","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284168","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"116","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284169","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"117","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284170","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"118","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284171","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"119","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284172","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"120","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284161","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"121","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284162","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"122","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284163","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"123","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284164","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"124","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284165","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"125","Madhya Pradesh","Installing community drinking water plants","WS/MP107/2026-2027/284166","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","07-Sep-2026","KARISHMA CONSTRUCTION","Payment In-Progress","187701"
"126","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299129","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","05-Sep-2026","Nandha and Company","Payment In-Progress","82320"
"127","Madhya Pradesh","Construction of shelters for animals","WS/MP106/2025-2026/219723","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","22-Aug-2026","GRAM PANCHAYAT JHOT","Payment In-Progress","125000"
"128","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/242858","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","29-Jul-2026","Riyanshi Contractor","Payment In-Progress","496946"
"129","Uttarakhand","Construction of water tanks","WS/MP18333/2025-2026/186613","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","03-Aug-2026","Riyanshi Contractor","Payment In-Progress","977393"
"130","Uttar Pradesh","Construction of public toilets and bathrooms","WS/MP186/2025-2026/218811","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","09-Sep-2026","Khand Vikas Adhikari","Payment In-Progress","294368"
"131","Uttar Pradesh","Construction of culverts and bridges","WS/MP186/2025-2026/218812","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","09-Sep-2026","Khand Vikas Adhikari","Payment In-Progress","254060"
"132","Uttar Pradesh","Construction of public toilets and bathrooms","WS/MP186/2025-2026/218811","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","09-Sep-2026","Tarkeshwar Prasad Pandey","Payment In-Progress","1314697"
"133","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18410/2026-2027/270839","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Jagat Prakash Nadda (2024-30) (2024-2030)","Elected MP","24-Aug-2026","MOTA GRAM PANCHAYAT","Payment In-Progress","500000"
"134","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP203/2025-2026/209150","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","19-Aug-2026","POOJA ENTERPRISES","Payment In-Progress","466572"
"135","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/247312","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","11-Jul-2026","J R Group","Payment In-Progress","1172052"
"136","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/224034","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","06-Aug-2026","J R Group","Payment In-Progress","111973"
"137","Himachal Pradesh","Construction of public toilets and bathrooms","WS/MP078/2024-2025/28571","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","03-Sep-2026","MC Shimla Rajya Sabha","Payment In-Progress","195441"
"138","Uttar Pradesh","Construction of stadiums","WS/MP188/2026-2027/179557","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Jayant Chaudhary (2022-28) (2022-2028)","Elected MP","20-Aug-2026","Vaid Associates","Payment In-Progress","2710610"
"139","Uttar Pradesh","Construction of culverts and bridges","WS/MP186/2025-2026/218841","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","09-Sep-2026","Randheer Enterprises","Payment In-Progress","863990"
"140","Uttar Pradesh","Development of public parks","WS/MP186/2025-2026/219081","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","09-Sep-2026","Khand Vikas Adhikari","Payment In-Progress","103008"
"141","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18288/2024-2025/150648","Mahisagar(COLLECTOR MAHISAGAR_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","02-Sep-2026","GUNTHALI GRAM PANCHYAT GRAM PANCHYAT","Payment In-Progress","300000"
"142","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18288/2024-2025/150647","Mahisagar(COLLECTOR MAHISAGAR_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","03-Sep-2026","OTHAVAD GRAM PANCHYAT GRAM PANCHYAT","Payment In-Progress","298558"
"143","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/256626","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","12-Aug-2026","Bhoyan Grampanchayat","Payment In-Progress","300000"
"144","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18288/2025-2026/239181","Mahisagar(COLLECTOR MAHISAGAR_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","01-Sep-2026","LIMADIYA GROUP GRAM PANCHAYAT","Payment In-Progress","495000"
"145","Uttarakhand","Construction of additional rooms and halls in the existing public and community building","WS/MP204/2025-2026/162158","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-Jan-2026","KAMBOJ ASSOCIATES","Payment In-Progress","1994975"
"146","Uttar Pradesh","Installing community drinking water plants","WS/MP192/2023-2024/13385","BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","14-Feb-2025","R G SUPPLIERS","Payment In-Progress","190328"
"147","Uttar Pradesh","Construction of culverts and bridges","WS/MP186/2025-2026/218812","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","09-Sep-2026","VIJAY KUMAR SINGH","Payment In-Progress","1823366"
"148","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18333/2026-2027/254901","PITHORAGARH(NRLM , pithoragarh)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","03-Sep-2026","MUKESH WALDIA","Payment In-Progress","498500"
"149","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2026-2027/292109","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","24-Jul-2026","Kanthakumar","Payment In-Progress","777304"
"150","Himachal Pradesh","Construction of community centers and community halls","WS/MP078/2026-2027/282834","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","09-Sep-2026","gram panchayat jarol","Payment In-Progress","150000"
"151","Himachal Pradesh","Construction of community centers and community halls","WS/MP078/2026-2027/282737","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","07-Sep-2026","gram panchayat maloh","Payment In-Progress","50000"
"152","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18410/2026-2027/270843","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Jagat Prakash Nadda (2024-30) (2024-2030)","Elected MP","07-Sep-2026","GOLA GRAM PANCHAYAT","Payment In-Progress","500000"
"153","Kerala","Lighting of public spaces","WS/MP095/2025-2026/257512","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri A. A. Rahim (2022-28) (2022-2028)","Elected MP","04-Sep-2026","R G ELECTRONICS","Payment In-Progress","232972"
"154","Uttar Pradesh","Street lights","WS/MP187/2025-2026/210033","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","21-Feb-2026","KLK Ventures Private Limited","Payment In-Progress","15364"
"155","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229720","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","14397"
"156","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229865","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","28794"
"157","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229721","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","57588"
"158","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229718","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","57588"
"159","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229719","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","28794"
"160","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229717","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","57588"
"161","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229864","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","07-Aug-2026","KLK Ventures Private Limited","Payment In-Progress","14397"
"162","Uttar Pradesh","Street lights","WS/MP187/2025-2026/210032","ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","30-May-2026","KLK Ventures Private Limited","Payment In-Progress","30728"
"163","Odisha","Setting up of laboratories","WS/MP134/2025-2026/239327","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Ashwini Vaishnaw (2024-30) (2024-2030)","Elected MP","08-Sep-2026","PERIDOT TECHNOLOGIES","Payment In-Progress","667821"
"164","Odisha","Setting up of laboratories","WS/MP134/2025-2026/239327","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Ashwini Vaishnaw (2024-30) (2024-2030)","Elected MP","08-Sep-2026","PERIDOT TECHNOLOGIES","Payment In-Progress","141600"
"165","Himachal Pradesh","Construction of public toilets and bathrooms","WS/MP078/2026-2027/282831","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","07-Sep-2026","gram panchayat nalag","Payment In-Progress","150000"
